hour,sum,date
1,4317750.445,2012-12-25
2,2448348.994,2012-12-25
3,4911926.052,2012-12-25
4,1105850.369,2012-12-25
5,1185038.226,2012-12-25
6,954200.123,2012-12-25
7,1292986.756,2012-12-25
8,3811296.564,2012-12-25
9,2084742.678,2012-12-25
10,4058398.778,2012-12-25
11,3345477.1,2012-12-25
12,1731290.613,2012-12-25
13,1739361.232,2012-12-25
14,1877491.028,2012-12-25
15,1809970.86,2012-12-25
16,1705561.445,2012-12-25
17,2379356.048,2012-12-25
18,7042082.106,2012-12-25
19,3092055.867,2012-12-25
20,3440874.613,2012-12-25
21,3168856.391,2012-12-25
22,2712018.247,2012-12-25
23,1695147.528,2012-12-25
24,11791645.105,2012-12-25
1,10423327.235,2013-01-01
2,5950280.389,2013-01-01
3,827031.405,2013-01-01
4,813204.434,2013-01-01
5,833778.988,2013-01-01
6,714937.092,2013-01-01
7,1328042.867,2013-01-01
8,3303506.336,2013-01-01
9,1915329.545,2013-01-01
10,1780802.128,2013-01-01
11,1407052.932,2013-01-01
12,1870255.017,2013-01-01
13,2433195.8,2013-01-01
14,2381079.873,2013-01-01
15,1630370.463,2013-01-01
16,1798405.86,2013-01-01
17,5201219.712,2013-01-01
18,6233911.534,2013-01-01
19,5828252.165,2013-01-01
20,5821010.061,2013-01-01
21,3355586.275,2013-01-01
22,2755805.236,2013-01-01
23,1887935.844,2013-01-01
24,12240759.935,2013-01-01
